x,y,id
852,776,Dal81
384,-878,Fhl1
237,424,SPAC11D3.17
382,-669,Toe1
167,-952,Ssa1
109,-1231,Spe1
-679,-154,Laf1
-736,-610,Png3
-1452,768,Yaf9
-483,-1232,Tup11
1274,316,Gcn1
811,-81,Trp2
413,43,SPAC1B3.01c
-944,-101,Lsh1
626,-670,Dal2
432,-201,Not1
-343,602,Pcr1
-1211,-374,Res2
879,-660,Php3
-445,-558,Cdb4
-25,683,Shm1
-224,-697,Sds3
395,-1126,SPAC25B8.11
-310,1214,SPAC25G10.01
197,-408,Lrs1
50,940,Mga2
176,-582,Prw1
-19,-1050,Hsf1
658,933,Abc4
-1626,115,Phx1
-739,272,SPAC3C7.04
-960,-422,Elf1
-190,412,Grs1
-1268,1050,Png1
-834,485,Sak1
977,234,Tif223
-846,763,Spt20
1038,572,Sec21
-76,-482,Mug165
-159,-1361,Tup12
-1257,813,Mst1
-1379,401,Rst2
1324,-17,Rna14
-989,1209,Ace2
143,-1460,Puf4
1157,741,Tif308
-1314,-898,Put4
849,434,Prr1
-759,-919,Msh3
-445,850,Swc4
606,557,Ubc4
-1566,300,Pmk1
872,1026,Cdc2
102,1500,Stt3
1048,-999,Adn2
-590,-757,Pst1
649,-329,Enp1
678,327,Ykt6
1203,471,Sec26
606,-925,Stb3
-239,-923,Cti6
-1481,-694,Nrm1
-715,1152,Eaf7
838,-874,Php4
-187,25,Fkh2
-530,1423,Ntu1
-750,-360,Vrs1
-132,-239,Png2
-551,6,Pst3
8,92,Dbp3
-86,236,Krs1
298,650,Sac11
-699,-1391,Msh2
-214,-1179,Scr1
-757,96,Sec13
-1589,-485,Yox1
108,-754,Dep1
-1462,-86,SPBC21C3.15c
-1075,698,Bdc1
-1142,506,Taf10
-459,-1447,Ssn6
466,259,Nda3
-791,1322,Ngg1
-596,704,Atf1
-136,1095,Atf21
-407,330,Gua1
800,-1081,Ldb1
1096,973,Ste11
-1481,-307,Cdc10
1301,165,Cct8
843,-410,Vac8
-33,-867,Clr6
1151,-785,Php5
390,1350,SPBC3B8.06
-476,-917,Rxt2
-373,114,Eif21
-1668,-192,Prt1
-327,1487,Ntu2
-1021,-790,SPBC530.11c
-1171,267,Sus1
1226,-546,Php2
-1200,-573,Res1
-1119,-1075,Sfc9
142,768,Tuf1
-1560,547,Tra1
1305,-255,Mts4
456,765,Lcf2
-988,-977,Rpb6
-610,495,Ght5
-392,-337,Rxt3
45,-101,Tef5
666,-1322,Adn3
-1156,-197,Hap2
-1006,948,Vid21
465,-497,Bfr1
-934,-1248,Gaf1
-1043,134,Ada2
189,-245,Nts1
-737,-1142,Msh6
177,1218,Ams2
805,1222,SPCC320.08
-444,1042,Pcm1
-91,1403,Wbp1
81,213,Tef3
398,1037,SPCC584.13
-1349,129,Spt3
-179,875,Cbf11
-689,981,Epl1
426,-1369,Alp14
1108,-366,Vma8
